Accident_Index,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
A20210101386,15/01/2021,Friday,Auto traffic signal,Roundabout,Slight,51.41099,Darkness - lights lit,Hammersmith and Fulham,None,-0.247753,1,1,Metropolitan Police,Frost or ice,Single carriageway,25,05:40,Urban,Fine no high winds,Bus
A20210101387,16/01/2021,Saturday,Auto traffic signal,T or staggered junction,Moderate,51.405996,Darkness - lights lit,Kensington and Chelsea,None,-0.238341,3,2,Metropolitan Police,Dry,Dual carriageway,82,20:20,Rural,Fine no high winds,Bus
A20210101388,17/01/2021,Sunday,Auto traffic signal,Roundabout,Slight,51.418569,Daylight,Westminster,None,-0.165284,1,2,Metropolitan Police,Dry,Dual carriageway,85,16:05,Urban,Fine no high winds,Goods vehicle
A20210101389,18/01/2021,Monday,Give way or uncontrolled,Not at junction or within 20 metres,Moderate,51.427792,Daylight,Camden,None,-0.109842,3,4,Metropolitan Police,Snow,Dual carriageway,85,12:20,Urban,Fog or mist,Bus
A20210101390,19/01/2021,Tuesday,Auto traffic signal,T or staggered junction,Moderate,51.472562,Daylight,Westminster,None,-0.256596,3,4,Metropolitan Police,Dry,Motorway,104,07:25,Rural,Fine no high winds,Car
A20210101391,20/01/2021,Wednesday,Stop sign,T or staggered junction,Fatal,51.481161,Darkness - lights lit,Westminster,None,-0.17226,3,4,Metropolitan Police,Snow,Motorway,88,23:00,Rural,Snowing no high winds,Goods vehicle
A20210101392,21/01/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.514794,Daylight,Kensington and Chelsea,None,-0.16037,1,1,Metropolitan Police,Snow,Single carriageway,20,15:35,Urban,Fine no high winds,Taxi/Private hire car
A20210101393,22/01/2021,Friday,Auto traffic signal,T or staggered junction,Moderate,51.555182,Darkness - lights lit,Camden,None,-0.249149,3,2,Metropolitan Police,Wet or damp,Dual carriageway,70,00:10,Rural,Raining no high winds,Car
A20210101394,23/01/2021,Saturday,Give way or uncontrolled,T or staggered junction,Moderate,51.409056,Daylight,Hammersmith and Fulham,None,-0.149685,3,3,Metropolitan Police,Dry,Single carriageway,38,14:10,Rural,Fog or mist,Goods vehicle
A20210101395,24/01/2021,Sunday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.49858,Daylight,Kensington and Chelsea,None,-0.10724,1,2,Metropolitan Police,Wet or damp,Residential street,24,07:40,Urban,Fine no high winds,Bus
A20210101396,25/01/2021,Monday,Auto traffic signal,Not at junction or within 20 metres,Fatal,51.4651,Darkness - lights lit,Westminster,None,-0.231607,3,1,Metropolitan Police,Frost or ice,Dual carriageway,92,23:40,Rural,Raining no high winds,Bus
A20210101397,26/01/2021,Tuesday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.53255,Darkness - lights lit,Kensington and Chelsea,None,-0.254329,1,3,Metropolitan Police,Frost or ice,One way street,48,22:50,Rural,Fine no high winds,Goods vehicle
A20210101398,27/01/2021,Wednesday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.504448,Daylight,Kensington and Chelsea,None,-0.11052,1,2,Metropolitan Police,Dry,Single carriageway,29,15:00,Urban,Raining no high winds,Car
A20210101399,28/01/2021,Thursday,Give way or uncontrolled,Roundabout,Slight,51.55335,Daylight,Kensington and Chelsea,None,-0.258404,1,4,Metropolitan Police,Frost or ice,Single carriageway,40,13:55,Rural,Fog or mist,Goods vehicle
A20210101400,01/01/2021,Friday,Auto traffic signal,T or staggered junction,Slight,51.498454,Darkness - lights lit,Kensington and Chelsea,None,-0.229679,1,1,Metropolitan Police,Frost or ice,Dual carriageway,56,04:25,Urban,Fine no high winds,Taxi/Private hire car
A20210101401,02/01/2021,Saturday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.462376,Daylight,Westminster,None,-0.230298,1,1,Metropolitan Police,Snow,Dual carriageway,92,12:45,Urban,Fine no high winds,Bus
A20210101402,03/01/2021,Sunday,Stop sign,T or staggered junction,Slight,51.475834,Daylight,Kensington and Chelsea,None,-0.187234,1,3,Metropolitan Police,Wet or damp,Single carriageway,54,13:05,Suburban,Raining no high winds,Motorcycle
A20210101403,04/01/2021,Monday,Give way or uncontrolled,Not at junction or within 20 metres,Fatal,51.46357,Daylight,Westminster,None,-0.205229,3,2,Metropolitan Police,Snow,Motorway,86,09:20,Urban,Storm,Car
A20210101404,05/01/2021,Tuesday,Stop sign,Roundabout,Moderate,51.527654,Darkness - lights lit,Hammersmith and Fulham,None,-0.118672,3,4,Metropolitan Police,Dry,Residential street,57,23:00,Urban,Fog or mist,Taxi/Private hire car
A20210101405,06/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.504247,Daylight,Camden,None,-0.144768,1,1,Metropolitan Police,Wet or damp,Roundabout,73,10:05,Rural,Fine no high winds,Bus
A20210101406,07/01/2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,51.491996,Daylight,Kensington and Chelsea,None,-0.208853,1,1,Metropolitan Police,Wet or damp,Single carriageway,39,17:25,Suburban,Snowing no high winds,Motorcycle
A20210101407,08/01/2021,Friday,Auto traffic signal,Roundabout,Fatal,51.48896,Daylight,Hammersmith and Fulham,None,-0.239696,3,4,Metropolitan Police,Frost or ice,Motorway,109,09:55,Rural,Fine no high winds,Car
A20210101408,09/01/2021,Saturday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.489198,Daylight,Kensington and Chelsea,None,-0.103725,1,1,Metropolitan Police,Dry,Single carriageway,37,14:20,Suburban,Raining no high winds,Motorcycle
A20210101409,10/01/2021,Sunday,Stop sign,Not at junction or within 20 metres,Slight,51.516176,Daylight,Westminster,None,-0.197114,1,2,Metropolitan Police,Wet or damp,One way street,22,13:20,Urban,Snowing no high winds,Bus
A20210101410,11/01/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.491853,Daylight,Hammersmith and Fulham,None,-0.20903,1,4,Metropolitan Police,Wet or damp,Single carriageway,49,13:20,Suburban,Fine no high winds,Taxi/Private hire car
A20210101411,12/01/2021,Tuesday,Give way or uncontrolled,T or staggered junction,Moderate,51.457485,Darkness - lights lit,Camden,None,-0.259762,3,2,Metropolitan Police,Wet or damp,One way street,82,05:15,Rural,Fine no high winds,Car
A20210101412,13/01/2021,Wednesday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.400773,Daylight,Kensington and Chelsea,None,-0.240589,1,1,Metropolitan Police,Frost or ice,Dual carriageway,74,07:20,Urban,Fine no high winds,Car
A20210101413,14/01/2021,Thursday,Give way or uncontrolled,Not at junction or within 20 metres,Fatal,51.479116,Daylight,Hammersmith and Fulham,None,-0.141254,3,4,Metropolitan Police,Dry,Motorway,84,12:45,Urban,Storm,Motorcycle
A20210101414,15/01/2021,Friday,Auto traffic signal,Roundabout,Moderate,51.439191,Daylight,Kensington and Chelsea,None,-0.256311,3,3,Metropolitan Police,Wet or damp,Single carriageway,55,17:05,Urban,Fog or mist,Taxi/Private hire car
A20210101415,16/01/2021,Saturday,Give way or uncontrolled,Roundabout,Moderate,51.414795,Daylight,Camden,None,-0.148912,3,3,Metropolitan Police,Wet or damp,Motorway,81,07:35,Urban,Snowing no high winds,Goods vehicle
A20210101416,17/01/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.458083,Daylight,Camden,None,-0.137978,1,3,Metropolitan Police,Frost or ice,Residential street,61,06:50,Suburban,Fine no high winds,Motorcycle
A20210101417,18/01/2021,Monday,Stop sign,Roundabout,Slight,51.538117,Darkness - lights lit,Hammersmith and Fulham,None,-0.189341,1,1,Metropolitan Police,Dry,Residential street,36,19:45,Urban,Fine no high winds,Car
A20210101418,19/01/2021,Tuesday,Stop sign,T or staggered junction,Moderate,51.547304,Darkness - lights lit,Westminster,None,-0.177866,3,3,Metropolitan Police,Dry,Roundabout,93,00:10,Rural,Fine no high winds,Taxi/Private hire car
A20210101419,20/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.474811,Daylight,Camden,None,-0.158052,1,2,Metropolitan Police,Frost or ice,One way street,39,11:40,Suburban,Fine no high winds,Bus
A20210101420,21/01/2021,Thursday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.415152,Daylight,Westminster,None,-0.171734,1,3,Metropolitan Police,Dry,Single carriageway,20,14:00,Urban,Storm,Goods vehicle
A20210101421,22/01/2021,Friday,Give way or uncontrolled,Roundabout,Slight,51.506489,Darkness - lights lit,Hammersmith and Fulham,None,-0.241692,1,1,Metropolitan Police,Dry,One way street,40,05:50,Urban,Fine no high winds,Motorcycle
A20210101422,23/01/2021,Saturday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.422932,Daylight,Kensington and Chelsea,None,-0.25526,1,2,Metropolitan Police,Wet or damp,Single carriageway,35,13:00,Rural,Fine no high winds,Taxi/Private hire car
A20210101423,24/01/2021,Sunday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.514453,Darkness - lights lit,Kensington and Chelsea,None,-0.180359,3,4,Metropolitan Police,Frost or ice,Roundabout,39,02:25,Rural,Storm,Bus
A20210101424,25/01/2021,Monday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.428433,Daylight,Westminster,None,-0.103445,1,4,Metropolitan Police,Wet or damp,Residential street,44,08:20,Urban,Fog or mist,Bus
A20210101425,26/01/2021,Tuesday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.518963,Darkness - lights lit,Westminster,None,-0.105754,3,3,Metropolitan Police,Frost or ice,One way street,35,02:25,Urban,Storm,Taxi/Private hire car
A20210101426,27/01/2021,Wednesday,Give way or uncontrolled,Roundabout,Slight,51.521098,Darkness - lights lit,Westminster,None,-0.127832,1,2,Metropolitan Police,Frost or ice,Residential street,46,02:35,Urban,Fine no high winds,Motorcycle
A20210101427,28/01/2021,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,51.44417,Darkness - lights lit,Kensington and Chelsea,None,-0.106977,3,4,Metropolitan Police,Frost or ice,Motorway,125,22:30,Suburban,Raining no high winds,Goods vehicle
A20210101428,01/01/2021,Friday,Give way or uncontrolled,Not at junction or within 20 metres,Moderate,51.425543,Darkness - lights lit,Kensington and Chelsea,None,-0.157742,3,3,Metropolitan Police,Dry,Single carriageway,50,19:20,Urban,Snowing no high winds,Car
A20210101429,02/01/2021,Saturday,Give way or uncontrolled,T or staggered junction,Fatal,51.437647,Daylight,Camden,None,-0.130129,3,3,Metropolitan Police,Dry,Motorway,105,09:40,Urban,Storm,Bus
A20210101430,03/01/2021,Sunday,Stop sign,Roundabout,Fatal,51.534956,Daylight,Camden,None,-0.23382,3,3,Metropolitan Police,Wet or damp,Motorway,80,17:10,Rural,Snowing no high winds,Car
A20210101431,04/01/2021,Monday,Stop sign,Not at junction or within 20 metres,Slight,51.497993,Daylight,Westminster,None,-0.172528,1,1,Metropolitan Police,Wet or damp,Single carriageway,49,09:50,Suburban,Raining no high winds,Motorcycle
A20210101432,05/01/2021,Tuesday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.539909,Daylight,Westminster,None,-0.144157,3,3,Metropolitan Police,Frost or ice,Dual carriageway,88,09:15,Urban,Snowing no high winds,Goods vehicle
A20210101433,06/01/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.414577,Darkness - lights lit,Camden,None,-0.21024,1,3,Metropolitan Police,Dry,Single carriageway,26,00:25,Urban,Fine no high winds,Taxi/Private hire car
A20210101434,07/01/2021,Thursday,Stop sign,Roundabout,Moderate,51.400671,Darkness - lights lit,Westminster,None,-0.180533,3,1,Metropolitan Police,Frost or ice,Roundabout,59,01:20,Urban,Fine no high winds,Car
A20210101435,08/01/2021,Friday,Stop sign,Not at junction or within 20 metres,Slight,51.496703,Darkness - lights lit,Kensington and Chelsea,None,-0.247171,1,3,Metropolitan Police,Dry,One way street,45,22:15,Suburban,Fine no high winds,Car
A20210101436,09/01/2021,Saturday,Stop sign,T or staggered junction,Fatal,51.494351,Darkness - lights lit,Hammersmith and Fulham,None,-0.138092,3,4,Metropolitan Police,Dry,Dual carriageway,93,03:15,Urban,Storm,Car
A20210101437,10/01/2021,Sunday,Stop sign,Not at junction or within 20 metres,Fatal,51.441339,Darkness - lights lit,Camden,None,-0.124736,3,4,Metropolitan Police,Snow,Residential street,83,04:25,Suburban,Fog or mist,Bus
A20210101438,11/01/2021,Monday,Stop sign,T or staggered junction,Slight,51.403621,Daylight,Westminster,None,-0.170702,1,4,Metropolitan Police,Dry,One way street,44,14:25,Suburban,Raining no high winds,Motorcycle
A20210101439,12/01/2021,Tuesday,Give way or uncontrolled,Roundabout,Fatal,51.404398,Darkness - lights lit,Kensington and Chelsea,None,-0.135328,3,4,Metropolitan Police,Wet or damp,Motorway,82,22:15,Urban,Raining no high winds,Taxi/Private hire car
A20210101440,13/01/2021,Wednesday,Give way or uncontrolled,Not at junction or within 20 metres,Fatal,51.431674,Daylight,Camden,None,-0.126,3,1,Metropolitan Police,Frost or ice,Motorway,105,18:50,Suburban,Raining no high winds,Motorcycle
A20210101441,14/01/2021,Thursday,Stop sign,Not at junction or within 20 metres,Slight,51.458614,Darkness - lights lit,Camden,None,-0.185516,1,1,Metropolitan Police,Dry,Residential street,65,05:20,Rural,Fine no high winds,Taxi/Private hire car
A20210101442,15/01/2021,Friday,Give way or uncontrolled,Roundabout,Moderate,51.493613,Darkness - lights lit,Hammersmith and Fulham,None,-0.163606,3,4,Metropolitan Police,Snow,Single carriageway,85,04:15,Rural,Raining no high winds,Motorcycle
A20210101443,16/01/2021,Saturday,Stop sign,Not at junction or within 20 metres,Slight,51.418943,Daylight,Camden,None,-0.148483,1,2,Metropolitan Police,Dry,One way street,42,14:50,Urban,Raining no high winds,Bus
A20210101444,17/01/2021,Sunday,Auto traffic signal,T or staggered junction,Slight,51.434814,Daylight,Camden,None,-0.252573,1,3,Metropolitan Police,Wet or damp,Single carriageway,44,09:10,Urban,Fine no high winds,Bus
A20210101445,18/01/2021,Monday,Stop sign,Roundabout,Slight,51.480542,Darkness - lights lit,Westminster,None,-0.256226,1,3,Metropolitan Police,Dry,Roundabout,52,19:40,Suburban,Raining no high winds,Motorcycle
A20210101446,19/01/2021,Tuesday,Give way or uncontrolled,Roundabout,Fatal,51.476203,Daylight,Camden,None,-0.137816,3,4,Metropolitan Police,Snow,Motorway,81,10:15,Rural,Fog or mist,Motorcycle
A20210101447,20/01/2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,51.452136,Darkness - lights lit,Kensington and Chelsea,None,-0.119126,1,3,Metropolitan Police,Frost or ice,Roundabout,53,19:25,Rural,Fine no high winds,Motorcycle
A20210101448,21/01/2021,Thursday,Stop sign,Roundabout,Moderate,51.451352,Daylight,Kensington and Chelsea,None,-0.238109,3,1,Metropolitan Police,Frost or ice,Dual carriageway,65,18:30,Urban,Storm,Motorcycle
A20210101449,22/01/2021,Friday,Auto traffic signal,Roundabout,Slight,51.441536,Daylight,Hammersmith and Fulham,None,-0.123347,1,1,Metropolitan Police,Frost or ice,Single carriageway,51,11:45,Urban,Fine no high winds,Taxi/Private hire car
A20210101450,23/01/2021,Saturday,Auto traffic signal,Roundabout,Slight,51.47497,Daylight,Kensington and Chelsea,None,-0.202704,1,4,Metropolitan Police,Dry,Single carriageway,43,09:30,Urban,Fine no high winds,Car
A20210101451,24/01/2021,Sunday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.559185,Darkness - lights lit,Westminster,None,-0.183015,3,1,Metropolitan Police,Wet or damp,Dual carriageway,61,03:25,Urban,Fine no high winds,Car
A20210101452,25/01/2021,Monday,Give way or uncontrolled,Roundabout,Slight,51.480521,Darkness - lights lit,Camden,None,-0.147092,1,2,Metropolitan Police,Frost or ice,Single carriageway,48,00:10,Urban,Fine no high winds,Car
A20210101453,26/01/2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.42975,Daylight,Camden,None,-0.100475,1,4,Metropolitan Police,Frost or ice,Single carriageway,53,12:50,Urban,Fine no high winds,Motorcycle
A20210101454,27/01/2021,Wednesday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.433044,Daylight,Camden,None,-0.226681,1,4,Metropolitan Police,Frost or ice,Roundabout,33,12:50,Urban,Fine no high winds,Motorcycle
A20210101455,28/01/2021,Thursday,Give way or uncontrolled,Roundabout,Moderate,51.543347,Daylight,Kensington and Chelsea,None,-0.132427,3,4,Metropolitan Police,Wet or damp,One way street,88,16:30,Rural,Fine no high winds,Taxi/Private hire car
A20210101456,01/01/2021,Friday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.483972,Daylight,Westminster,None,-0.184118,1,4,Metropolitan Police,Dry,Single carriageway,20,07:20,Urban,Fine no high winds,Bus
A20210101457,02/01/2021,Saturday,Auto traffic signal,Roundabout,Moderate,51.472037,Darkness - lights lit,Hammersmith and Fulham,None,-0.179969,3,4,Metropolitan Police,Frost or ice,Residential street,63,00:25,Rural,Raining no high winds,Bus
A20210101458,03/01/2021,Sunday,Stop sign,Roundabout,Moderate,51.423546,Daylight,Westminster,None,-0.183703,3,4,Metropolitan Police,Wet or damp,Motorway,90,18:55,Urban,Fine no high winds,Motorcycle
A20210101459,04/01/2021,Monday,Give way or uncontrolled,Roundabout,Slight,51.532821,Darkness - lights lit,Hammersmith and Fulham,None,-0.191852,1,1,Metropolitan Police,Frost or ice,Roundabout,54,05:50,Rural,Fine no high winds,Car
A20210101460,05/01/2021,Tuesday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.464664,Darkness - lights lit,Westminster,None,-0.254819,1,2,Metropolitan Police,Dry,Single carriageway,43,19:40,Urban,Fine no high winds,Motorcycle
A20210101461,06/01/2021,Wednesday,Stop sign,Not at junction or within 20 metres,Moderate,51.402226,Darkness - lights lit,Camden,None,-0.230498,3,4,Metropolitan Police,Snow,Dual carriageway,92,05:10,Suburban,Fine no high winds,Motorcycle
A20210101462,07/01/2021,Thursday,Give way or uncontrolled,Roundabout,Moderate,51.547816,Darkness - lights lit,Hammersmith and Fulham,None,-0.118065,3,1,Metropolitan Police,Snow,Dual carriageway,73,02:35,Suburban,Fine no high winds,Car
A20210101463,08/01/2021,Friday,Auto traffic signal,Roundabout,Slight,51.492412,Darkness - lights lit,Kensington and Chelsea,None,-0.121916,1,4,Metropolitan Police,Wet or damp,Single carriageway,54,05:30,Suburban,Fine no high winds,Goods vehicle
A20210101464,09/01/2021,Saturday,Stop sign,T or staggered junction,Slight,51.518629,Daylight,Camden,None,-0.218382,1,2,Metropolitan Police,Snow,Residential street,54,17:00,Urban,Raining no high winds,Goods vehicle
A20210101465,10/01/2021,Sunday,Give way or uncontrolled,Roundabout,Fatal,51.512114,Darkness - lights lit,Hammersmith and Fulham,None,-0.231171,3,1,Metropolitan Police,Wet or damp,Dual carriageway,92,03:55,Rural,Fog or mist,Goods vehicle
A20210101466,11/01/2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,51.532871,Darkness - lights lit,Hammersmith and Fulham,None,-0.18759,1,3,Metropolitan Police,Wet or damp,Single carriageway,56,01:20,Urban,Fine no high winds,Motorcycle
A20210101467,12/01/2021,Tuesday,Stop sign,Not at junction or within 20 metres,Moderate,51.459782,Daylight,Hammersmith and Fulham,None,-0.144354,3,4,Metropolitan Police,Snow,Single carriageway,59,06:45,Suburban,Raining no high winds,Car
A20210101468,13/01/2021,Wednesday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.514379,Daylight,Kensington and Chelsea,None,-0.169593,1,2,Metropolitan Police,Dry,Single carriageway,30,13:00,Urban,Raining no high winds,Taxi/Private hire car
A20210101469,14/01/2021,Thursday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.491588,Daylight,Kensington and Chelsea,None,-0.166435,1,2,Metropolitan Police,Wet or damp,Single carriageway,59,09:15,Urban,Fine no high winds,Bus
A20210101470,15/01/2021,Friday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.528858,Darkness - lights lit,Camden,None,-0.123439,1,1,Metropolitan Police,Dry,Single carriageway,44,05:15,Suburban,Fine no high winds,Goods vehicle
A20210101471,16/01/2021,Saturday,Stop sign,Not at junction or within 20 metres,Slight,51.530106,Daylight,Camden,None,-0.148777,1,2,Metropolitan Police,Wet or damp,Single carriageway,29,10:55,Suburban,Fine no high winds,Taxi/Private hire car
A20210101472,17/01/2021,Sunday,Stop sign,T or staggered junction,Moderate,51.455491,Daylight,Westminster,None,-0.240408,3,3,Metropolitan Police,Snow,Motorway,102,12:10,Urban,Fine no high winds,Car
A20210101473,18/01/2021,Monday,Stop sign,Not at junction or within 20 metres,Moderate,51.498366,Daylight,Kensington and Chelsea,None,-0.241135,3,2,Metropolitan Police,Frost or ice,Dual carriageway,65,10:45,Urban,Raining no high winds,Motorcycle
A20210101474,19/01/2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.42916,Daylight,Camden,None,-0.157453,1,2,Metropolitan Police,Frost or ice,Single carriageway,30,11:20,Urban,Raining no high winds,Bus
A20210101475,20/01/2021,Wednesday,Auto traffic signal,Roundabout,Moderate,51.437139,Darkness - lights lit,Hammersmith and Fulham,None,-0.239503,3,4,Metropolitan Police,Snow,Dual carriageway,89,05:30,Rural,Fog or mist,Motorcycle
A20210101476,21/01/2021,Thursday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.404065,Daylight,Hammersmith and Fulham,None,-0.240726,1,2,Metropolitan Police,Dry,Dual carriageway,51,12:20,Urban,Raining no high winds,Car
A20210101477,22/01/2021,Friday,Give way or uncontrolled,T or staggered junction,Moderate,51.512824,Daylight,Kensington and Chelsea,None,-0.203387,3,2,Metropolitan Police,Snow,Motorway,83,17:20,Rural,Fine no high winds,Bus
A20210101478,23/01/2021,Saturday,Auto traffic signal,T or staggered junction,Slight,51.50659,Darkness - lights lit,Kensington and Chelsea,None,-0.177212,1,4,Metropolitan Police,Frost or ice,Single carriageway,57,04:05,Urban,Fine no high winds,Goods vehicle
A20210101479,24/01/2021,Sunday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.487241,Darkness - lights lit,Camden,None,-0.159475,1,3,Metropolitan Police,Dry,Dual carriageway,53,04:25,Urban,Fine no high winds,Goods vehicle
A20210101480,25/01/2021,Monday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.461153,Daylight,Westminster,None,-0.106137,3,2,Metropolitan Police,Wet or damp,One way street,51,17:35,Urban,Storm,Goods vehicle
A20210101481,26/01/2021,Tuesday,Stop sign,Not at junction or within 20 metres,Slight,51.506482,Daylight,Hammersmith and Fulham,None,-0.21601,1,3,Metropolitan Police,Snow,Single carriageway,38,11:45,Rural,Raining no high winds,Goods vehicle
A20210101482,27/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Moderate,51.402878,Daylight,Camden,None,-0.196336,3,2,Metropolitan Police,Wet or damp,Dual carriageway,95,10:55,Rural,Snowing no high winds,Bus
A20210101483,28/01/2021,Thursday,Auto traffic signal,T or staggered junction,Moderate,51.488872,Daylight,Westminster,None,-0.230629,3,3,Metropolitan Police,Dry,Motorway,80,10:55,Urban,Fine no high winds,Car
A20210101484,01/01/2021,Friday,Stop sign,Roundabout,Moderate,51.430192,Darkness - lights lit,Camden,None,-0.11907,3,1,Metropolitan Police,Dry,Motorway,94,20:30,Rural,Fine no high winds,Taxi/Private hire car
A20210101485,02/01/2021,Saturday,Give way or uncontrolled,Not at junction or within 20 metres,Slight,51.512347,Daylight,Hammersmith and Fulham,None,-0.196893,1,4,Metropolitan Police,Dry,Single carriageway,71,09:45,Rural,Fine no high winds,Taxi/Private hire car
A20210101486,03/01/2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,51.410681,Daylight,Camden,None,-0.156477,1,1,Metropolitan Police,Wet or damp,Residential street,57,10:00,Urban,Fine no high winds,Goods vehicle
A20210101487,04/01/2021,Monday,Stop sign,Not at junction or within 20 metres,Slight,51.428422,Daylight,Westminster,None,-0.212339,1,4,Metropolitan Police,Dry,One way street,43,07:15,Urban,Fog or mist,Car
A20210101488,05/01/2021,Tuesday,Auto traffic signal,Not at junction or within 20 metres,Fatal,51.405963,Darkness - lights lit,Hammersmith and Fulham,None,-0.215042,3,1,Metropolitan Police,Frost or ice,Motorway,108,22:00,Suburban,Fine no high winds,Car
A20210101489,06/01/2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,51.402356,Daylight,Camden,None,-0.223477,1,2,Metropolitan Police,Wet or damp,One way street,53,09:15,Urban,Raining no high winds,Bus
A20210101490,07/01/2021,Thursday,Give way or uncontrolled,Roundabout,Moderate,51.418347,Darkness - lights lit,Camden,None,-0.214702,3,1,Metropolitan Police,Frost or ice,Dual carriageway,58,04:15,Urban,Raining no high winds,Bus
A20210101491,08/01/2021,Friday,Stop sign,T or staggered junction,Slight,51.473563,Daylight,Hammersmith and Fulham,None,-0.184821,1,4,Metropolitan Police,Snow,One way street,38,11:20,Urban,Fine no high winds,Motorcycle
A20210101492,09/01/2021,Saturday,Give way or uncontrolled,Not at junction or within 20 metres,Fatal,51.555948,Daylight,Camden,None,-0.1192,3,1,Metropolitan Police,Frost or ice,Motorway,91,13:55,Suburban,Snowing no high winds,Bus
A20210101493,10/01/2021,Sunday,Give way or uncontrolled,Roundabout,Moderate,51.511573,Darkness - lights lit,Kensington and Chelsea,None,-0.118847,3,3,Metropolitan Police,Wet or damp,Dual carriageway,84,00:05,Suburban,Fine no high winds,Motorcycle
A20210101494,11/01/2021,Monday,Auto traffic signal,Roundabout,Slight,51.527381,Daylight,Hammersmith and Fulham,None,-0.168384,1,4,Metropolitan Police,Dry,One way street,34,15:10,Urban,Fog or mist,Taxi/Private hire car
A20210101495,12/01/2021,Tuesday,Stop sign,Not at junction or within 20 metres,Moderate,51.406634,Darkness - lights lit,Hammersmith and Fulham,None,-0.232327,3,4,Metropolitan Police,Snow,Dual carriageway,93,23:15,Urban,Fine no high winds,Car
A20210101496,13/01/2021,Wednesday,Auto traffic signal,Roundabout,Moderate,51.518707,Daylight,Camden,None,-0.232099,3,4,Metropolitan Police,Snow,One way street,89,10:15,Rural,Storm,Taxi/Private hire car
A20210101497,14/01/2021,Thursday,Give way or uncontrolled,Roundabout,Slight,51.507514,Darkness - lights lit,Kensington and Chelsea,None,-0.211244,1,4,Metropolitan Police,Dry,One way street,34,01:45,Urban,Raining no high winds,Bus
A20210101498,15/01/2021,Friday,Auto traffic signal,Not at junction or within 20 metres,Slight,51.460028,Daylight,Hammersmith and Fulham,None,-0.125081,1,3,Metropolitan Police,Frost or ice,Residential street,33,08:20,Urban,Raining no high winds,Bus
A20210101499,16/01/2021,Saturday,Give way or uncontrolled,Roundabout,Moderate,51.505459,Daylight,Kensington and Chelsea,None,-0.176885,3,1,Metropolitan Police,Dry,One way street,62,12:15,Suburban,Snowing no high winds,Taxi/Private hire car
A20210101500,17/01/2021,Sunday,Give way or uncontrolled,Not at junction or within 20 metres,Moderate,51.472708,Darkness - lights lit,Hammersmith and Fulham,None,-0.256731,3,2,Metropolitan Police,Snow,Single carriageway,53,03:00,Urban,Storm,Motorcycle
A20210101501,18/01/2021,Monday,Auto traffic signal,Not at junction or within 20 metres,Moderate,51.481471,Darkness - lights lit,Westminster,None,-0.255672,3,4,Metropolitan Police,Frost or ice,Single carriageway,59,01:15,Rural,Fine no high winds,Taxi/Private hire car
A20210101502,19/01/2021,Tuesday,Give way or uncontrolled,Roundabout,Slight,51.46565,Darkness - lights lit,Hammersmith and Fulham,None,-0.114204,1,3,Metropolitan Police,Dry,Roundabout,28,03:40,Urban,Fine no high winds,Goods vehicle
